iter	Passed	Remaining
0	0	54
1	4	243
2	9	304
3	12	292
4	13	249
5	15	246
6	20	269
7	25	288
8	29	302
9	34	309
10	39	316
11	44	323
12	48	326
13	53	329
14	58	329
15	62	329
16	67	328
17	71	327
18	76	325
19	80	323
20	85	321
21	89	318
22	94	317
23	99	314
24	104	312
25	108	309
26	113	306
27	118	303
28	122	300
29	127	296
30	131	293
31	136	289
32	141	286
33	145	282
34	149	278
35	154	274
36	159	270
37	163	266
38	168	262
39	173	259
40	178	256
41	183	253
42	188	249
43	193	245
44	198	242
45	203	238
46	207	234
47	212	229
48	216	225
49	221	221
50	225	216
51	230	212
52	234	208
53	239	203
54	243	199
55	248	195
56	253	190
57	258	186
58	263	183
59	268	178
60	272	174
61	277	169
62	281	165
63	286	160
64	290	156
65	295	152
66	300	147
67	304	143
68	309	138
69	313	134
70	318	130
71	322	125
72	327	121
73	331	116
74	336	112
75	340	107
76	345	103
77	349	98
78	354	94
79	358	89
80	363	85
81	368	80
82	373	76
83	378	72
84	382	67
85	387	63
86	392	58
87	398	54
88	403	49
89	408	45
90	413	40
91	418	36
92	423	31
93	428	27
94	433	22
95	437	18
96	442	13
97	447	9
98	452	4
99	457	0
